Store,Date,Day,Month,Year,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
6.0,2011-02-18,18,2,2011,1572117.54,0.0,59.61,3.045,214.7775231,6.858
13.0,2011-03-25,25,3,2011,1807545.43,0.0,42.38,3.435,128.6160645,7.47
6.0,2010-05-28,28,5,2010,1644470.66,0.0,78.89,2.759,212.412888,7.0920000000000005
4.0,2010-05-28,28,5,2010,1857533.7,0.0,60.77,2.756,126.1602258,7.896
15.0,2011-06-03,3,6,2011,695396.19,0.0,69.8,4.069,134.85516130000002,7.657999999999999
20.0,2012-02-03,3,2,2012,2203523.2,0.0,39.93,3.617,213.0236225,6.961
14.0,2010-12-10,10,12,2010,2600519.26,0.0,30.54,3.109,178.4,7.65
3.0,2012-02-24,24,2,2012,418925.47,0.0,60.12,3.555,224.1320199,6.832999999999998
8.0,2011-08-19,19,8,2011,895066.5,0.0,82.92,3.554,219.07019680000005,6.425
18.0,2010-10-15,15,10,2010,1029618.1,0.0,52.02,2.878,132.7633548,9.331
7.0,2011-05-13,13,5,2011,414094.05,0.0,36.61,3.767,192.826069,8.595
1.0,2012-03-16,16,3,2012,1677472.78,0.0,64.74,3.734,221.2118132,7.348
17.0,2010-10-01,1,10,2010,829207.27,0.0,60.07,2.853,126.2346,6.885
6.0,2010-04-30,30,4,2010,1498080.16,0.0,68.91,2.78,211.8942725,7.0920000000000005
13.0,2010-08-20,20,8,2010,1997397.63,0.0,76.34,2.85,178.4,7.951
2.0,2011-12-16,16,12,2011,2432736.52,0.0,50.13,3.3,178.4,7.441
7.0,2010-04-02,2,4,2010,561145.14,0.0,38.26,2.725,189.7048215,8.963
5.0,2011-05-13,13,5,2011,290930.01,0.0,77.38,3.899,216.5343611,6.489
18.0,2012-10-12,12,10,2012,1074079.0,0.0,50.97,4.029,138.9117,8.243
19.0,2010-03-26,26,3,2010,1427023.45,0.0,39.07,2.963,131.863129,8.35
19.0,2012-05-04,4,5,2012,1405007.44,0.0,50.76,4.124,138.0332,8.15
17.0,2012-10-12,12,10,2012,919878.34,0.0,44.82,3.797,131.1083333,5.527
3.0,2012-01-13,13,1,2012,367438.62,0.0,51.86,3.261,178.4,6.832999999999998
16.0,2011-05-20,20,5,2011,435397.19,0.0,43.95,3.828,192.831317,6.339
17.0,2010-04-16,16,4,2010,757738.76,0.0,45.22,2.915,126.5621,6.635
6.0,2011-08-26,26,8,2011,1420405.41,0.0,60.77,3.523,217.2706543,6.925
7.0,2012-02-10,10,2,2012,563460.77,1.0,18.79,3.103,196.9195056,8.256
14.0,2012-02-10,10,2,2012,2077256.24,1.0,37.0,3.3,178.4,8.424
19.0,2011-03-25,25,3,2011,1266564.94,0.0,33.26,3.789,133.9587419,7.771
3.0,2011-09-23,23,9,2011,365248.94,0.0,80.19,3.467,219.7414914,7.567
18.0,2011-04-15,15,4,2011,988157.72,0.0,60.77,3.823,134.2784667,8.975
4.0,2011-06-24,24,6,2011,2008344.92,0.0,81.85,3.57,129.0663,5.9460000000000015
5.0,2011-11-11,11,11,2011,311906.7,0.0,60.71,3.297,218.5699621,6.3
18.0,2012-04-27,27,4,2012,961186.23,0.0,50.43,4.023,137.9781333,8.304
16.0,2012-09-14,14,9,2012,526525.16,0.0,60.77,3.659,198.1267184,6.061
7.0,2011-08-26,26,8,2011,629994.47,0.0,57.6,3.485,194.3796374,8.622
1.0,2010-02-12,12,2,2010,1641957.44,1.0,38.51,2.548,211.24216980000003,8.106
2.0,2012-02-24,24,2,2012,1861802.7,0.0,54.63,3.555,220.275944,7.057
5.0,2010-07-30,30,7,2010,268929.03,0.0,82.46,2.64,211.9270006,6.496
19.0,2010-07-02,2,7,2010,1549018.68,0.0,66.25,2.958,132.5218667,8.099
1.0,2011-08-05,5,8,2011,1624383.75,0.0,91.65,3.684,215.544618,7.9620000000000015
16.0,2012-03-30,30,3,2012,485095.41,0.0,48.29,3.75,197.4133259,6.162000000000001
13.0,2012-06-01,1,6,2012,2035431.39,0.0,61.11,3.788,130.95922579999998,5.965
2.0,2010-11-12,12,11,2010,1916812.74,0.0,59.69,2.728,211.6608975,8.163
9.0,2010-06-25,25,6,2010,509263.28,0.0,85.02,2.653,214.8965756,7.65
